Source,ID,Title,Publication_type,Journal,Year_publication,Doi,Geography,Higher_geography,H_5,Year_study,Species_name,Genus,Species,Subspecies,Family,weight_bat_reported,weight_bat_mean,weight_bat_min,weight_bat_max,Type_device,Device_type_category,kind_device,VHF,device_weight_reported,weight_device,weight_device_min,weight_device_max,device_over5,device_%,device_%_min,device_%_max,Contact_authors,Authors_reply,Assignment,Validation
WoS_2022,Other_Omara_211,"A first assessment of home range and foraging behaviour of the african long-tongued bat megaloglossus woermanni (chiroptera: Pteropodidae) in a heterogeneous landscape within the lama forest reserve, benin",Research,Acta Chiropterologica,2009,https://doi.org/10.3161/150811009X485558,"Benin, Africa",Afrotropical,Yes,2004,Megaloglossus woermanni,Megaloglossus,woermanni,NA,Pteropodidae,Yes,NA,13,15,VHF transmitter,VHF transmitter,Holohil BD-2,Yes,Yes,0.7,0.7,0.7,Some,NA,4.8,5.6,No,NA,Co-authors,Co-authors
WoS_2022,Other_Omara_211,"A first assessment of home range and foraging behaviour of the african long-tongued bat megaloglossus woermanni (chiroptera: Pteropodidae) in a heterogeneous landscape within the lama forest reserve, benin",Research,Acta Chiropterologica,2009,https://doi.org/10.3161/150811009X485558,"Benin, Africa",Afrotropical,Yes,2004,Megaloglossus woermanni,Megaloglossus,woermanni,NA,Pteropodidae,Yes,NA,13,15,VHF transmitter,VHF transmitter,Holohil BD-2,Yes,Yes,0.7,0.7,0.7,Some,NA,4.8,5.6,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_212,"Morphological characteristics predict alternate foraging strategy and microhabitat selection in the orange-bellied bat, lampronycteris brachyotis",Research,Journal of Mammalogy,2004,https://doi.org/10.1644/BWG-206.1,"Barro Colorado Island, Panamá",Neotropical,Yes,2000,Lampronycteris brachyotis,Lampronycteris,brachyotis,NA,Phyllostomidae,Yes,13,NA,NA,VHF transmitter,VHF transmitter,Holohil BD2-AP,Yes,Yes,1.04,NA,NA,Yes,NA,6.9,9.4,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_212,"Morphological characteristics predict alternate foraging strategy and microhabitat selection in the orange-bellied bat, lampronycteris brachyotis",Research,Journal of Mammalogy,2004,https://doi.org/10.1644/BWG-206.1,"Barro Colorado Island, Panamá",Neotropical,Yes,2000,Lampronycteris brachyotis,Lampronycteris,brachyotis,NA,Phyllostomidae,Yes,13,NA,NA,VHF transmitter,VHF transmitter,Holohil BD2-AP,Yes,Yes,1.04,NA,NA,Yes,NA,6.9,9.4,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_213,"Activity pattern of the trawling phyllostomid bat, macrophyllum macrophyllum, in Panama",Research,Biotropica,2005,https://doi.org/10.1111/j.1744-7429.2006.00101.x ,"Barro Colorado Nature Monument, Panama",Neotropical,Yes,2002,Macrophyllum macrophyllum,Macrophyllum,macrophyllum,NA,Phyllostomidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil LB2-BP,Yes,Yes,0.84,NA,NA,Yes,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_213,"Activity pattern of the trawling phyllostomid bat, macrophyllum macrophyllum, in Panama",Research,Biotropica,2005,https://doi.org/10.1111/j.1744-7429.2006.00101.x ,"Barro Colorado Nature Monument, Panama",Neotropical,Yes,2002,Macrophyllum macrophyllum,Macrophyllum,macrophyllum,NA,Phyllostomidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil LB2-BP,Yes,Yes,0.84,NA,NA,Yes,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_214,Prehibernation habitat use and foraging activity by endangered ozark big-eared bats (Plecotus townsendii ingens),Research,American Midland Naturalist,1996,https://doi.org/10.2307/2426704,"Oklahoma, USA",Nearctic,Yes,1991-1992,Plecotus townsendii ingens,Plecotus,townsendii,ingens,Vespertilionidae,Yes,NA,10,15,VHF transmitter,VHF transmitter,Holohil BD-2B,Yes,Yes,NA,0.65,0.75,Some,NA,4.3,7.3,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_214,Prehibernation habitat use and foraging activity by endangered ozark big-eared bats (Plecotus townsendii ingens),Research,American Midland Naturalist,1996,https://doi.org/10.2307/2426704,"Oklahoma, USA",Nearctic,Yes,1991-1992,Plecotus townsendii ingens,Plecotus,townsendii,ingens,Vespertilionidae,Yes,NA,10,15,VHF transmitter,VHF transmitter,Holohil BD-2B,Yes,Yes,NA,0.65,0.75,Some,NA,4.3,7.3,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_215,Wireless recording of the calls of rousettus aegyptiacus and their reproduction using electrostatic transducers,Research,BIOINSPIRATION & BIOMIMETICS,2010,http://dx.doi.org/10.1088/1748-3182/5/2/026001,UK,Palearctic,Yes,NA,Rousettus aegyptiacus,Rousettus,aegyptiacus,NA,Pteropodidae,Yes,NA,85,139,NA,Microphone,Custom-made,No,Yes,6.8,NA,NA,Yes,8,8,8,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_216,Differences in the foraging behaviour of male and female big brown bats (eptesicus fuscus) during the reproductive period,Research,Ecoscience,1997,NA,"Alberta, Canada",Nearctic,No,1992-1993,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2T,Yes,Yes,0.8,0.8,0.8,No,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_216,Differences in the foraging behaviour of male and female big brown bats (eptesicus fuscus) during the reproductive period,Research,Ecoscience,1997,NA,"Alberta, Canada",Nearctic,No,1992-1993,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2T,Yes,Yes,0.8,0.8,0.8,No,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_217,Social thermoregulation exerts more influence than microclimate on forest roost preferences by a cavity-dwelling bat,Research,Behavioral Ecology and Sociobiology,2007,https://doi.org/10.1007/s00265-007-0442-y,"Saskatchewan, Canada",Nearctic,No,2000-2002,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,Yes,22,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2T,Yes,Yes,0.7,0.7,0.7,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_217,Social thermoregulation exerts more influence than microclimate on forest roost preferences by a cavity-dwelling bat,Research,Behavioral Ecology and Sociobiology,2007,https://doi.org/10.1007/s00265-007-0442-y,"Saskatchewan, Canada",Nearctic,No,2000-2002,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,Yes,20,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2T,Yes,Yes,0.7,0.7,0.7,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_218,Roost selection by forest-living female big brown bats (eptesicus fuscus),Research,Journal of Mammalogy,2006,https://doi.org/10.1644/05-MAMM-A-118R1.1,"Saskatchewan, Canada",Nearctic,No,2000-2002,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2T ; Holohil BD-2AT,Yes,Yes,0.7,0.7,0.7,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_219,PHYSIOLOGICAL AND ECOLOGICAL ASPECTS OF ROOST SELECTION BY REPRODUCTIVE FEMALE HOARY BATS LASIURUS CINEREUS,Research,Journal of Mammalogy,2005,https://doi.org/10.1644/1545-1542(2005)086<0085:PAEAOR>2.0.CO;2,"Saskatchewan, Canada",Nearctic,No,2000-2002,Lasiurus cinereus,Lasiurus ,cinereus,NA,Vespertilionidae,Yes,NA,20,NA,VHF transmitter,VHF transmitter,Holohil BD-2T ; Holohil BD-2AT,Yes,Yes,0.75,0.75,0.75,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_219,PHYSIOLOGICAL AND ECOLOGICAL ASPECTS OF ROOST SELECTION BY REPRODUCTIVE FEMALE HOARY BATS LASIURUS CINEREUS,Research,Journal of Mammalogy,2005,https://doi.org/10.1644/1545-1542(2005)086<0085:PAEAOR>2.0.CO;2,"Saskatchewan, Canada",Nearctic,No,2000-2002,Lasiurus cinereus,Lasiurus ,cinereus,NA,Vespertilionidae,Yes,28,20,35,VHF transmitter,VHF transmitter,Holohil BD-2T ; Holohil BD-2AT,Yes,Yes,1.05,0.75,1.05,No,<5,NA,NA,No,NA,Co-authors,Co-authors
WoS_2022,Other_Omara_220,Defining torpor in free-ranging bats: Experimental evaluation of external temperature-sensitive radiotransmitters and the concept of active temperature,Research,Journal of Comparative Physiology B,2003,https://doi.org/10.1007/s00360-003-0343-y,"Saskatchewan, Canada",Nearctic,Yes,2000-2001,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,Yes,20,17,24,VHF transmitter,VHF transmitter,Holohil BD-2AT,Yes,Yes,0.7,0.7,0.7,No,NA,NA,<5,No,NA,Co-authors,Co-authors
WoS_2022,Other_Omara_220,Defining torpor in free-ranging bats: Experimental evaluation of external temperature-sensitive radiotransmitters and the concept of active temperature,Research,Journal of Comparative Physiology B,2003,https://doi.org/10.1007/s00360-003-0343-y,"Saskatchewan, Canada",Nearctic,Yes,2000-2001,Lasiurus cinereus,Lasiurus,cinereus,NA,Vespertilionidae,Yes,28,20,35,VHF transmitter,VHF transmitter,Holohil BD-2T,Yes,Yes,1.05,1.05,1.05,No,NA,NA,<5,No,NA,Co-authors,Co-authors
WoS_2022,Other_Omara_220,Defining torpor in free-ranging bats: Experimental evaluation of external temperature-sensitive radiotransmitters and the concept of active temperature,Research,Journal of Comparative Physiology B,2003,https://doi.org/10.1007/s00360-003-0343-y,"Saskatchewan, Canada",Nearctic,Yes,2000-2001,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,Yes,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2AT ; Holohil BD-2ATH,Yes,Yes,1.5,1.5,1.5,Yes,NA,6.3,8.7,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_221,"HOME RANGE AND TERRITORIALITY IN THE LEAST BLOSSOM BAT, MACROGLOSSUS MINIMUS, IN PAPUA NEW GUINEA",Research,Journal of Mammalogy,2003,https://doi.org/10.1644/1545-1542(2003)084<0561:HRATIT>2.0.CO;2,"Madang Province, Papua New Guinea",Australasian,Yes,1997-2000,Macroglossus minimus,Macroglossus,minimus,NA,Pteropodidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil MD-2CP,Yes,Yes,1.5,1.5,1.5,Yes,NA,7,8,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_221,"HOME RANGE AND TERRITORIALITY IN THE LEAST BLOSSOM BAT, MACROGLOSSUS MINIMUS, IN PAPUA NEW GUINEA",Research,Journal of Mammalogy,2003,https://doi.org/10.1644/1545-1542(2003)084<0561:HRATIT>2.0.CO;2,"Madang Province, Papua New Guinea",Australasian,Yes,1997-2000,Macroglossus minimus,Macroglossus,minimus,NA,Pteropodidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil MD-2CP,Yes,Yes,1.5,1.5,1.5,Yes,NA,7,8,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_222,"HOME RANGE OF THE SOUTHERN BLOSSOM BAT, SYCONYCTERIS AUSTRALIS, IN PAPUA NEW GUINEA",Research,Journal of Mammalogy,2000,https://doi.org/10.1644/1545-1542(2000)081<0408:HROTSB>2.0.CO;2 ,"Madang Province, Papua New Guinea",Australasian,Yes,1994-1996,Syconycteris australis,Syconycteris,australis,NA,Pteropodidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil MD-2CP,Yes,Yes,1.75,1.75,1.75,Yes,<10,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_222,"HOME RANGE OF THE SOUTHERN BLOSSOM BAT, SYCONYCTERIS AUSTRALIS, IN PAPUA NEW GUINEA",Research,Journal of Mammalogy,2000,https://doi.org/10.1644/1545-1542(2000)081<0408:HROTSB>2.0.CO;2 ,"Madang Province, Papua New Guinea",Australasian,Yes,1994-1996,Syconycteris australis,Syconycteris,australis,NA,Pteropodidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil MD-2CP,Yes,Yes,1.75,1.75,1.75,Yes,<10,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_223,The roosting spatial network of a bird-predator bat,Research,Ecology,2009,https://doi.org/10.1890/08-0174.1,"Andalusia, Spain",Palearctic,No,2003-2004,Nyctalus lasiopterus,Nyctalus,lasiopterus,NA,Vespertilionidae,No,NA,NA,NA,NA,VHF transmitter,Biotrack Pip Ag392,Yes,provided by another citation,1.85,NA,NA,No,<5,3,4.4,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_24,Indiana Bat (Myotis sodalis) Maternity Colonies in Arkansas,Research,Southeastern Naturalist,2011,http://www.jstor.org/stable/41262931,"Arkansas, USA",Nearctic,NA,2006,Myotis sodalis,Myotis,sodalis,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.42,0.42,0.42,Unknown,NA,NA,NA,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_25,Bats Without Borders: Long-Distance Movements and Implications for Disease Risk Management,Research,EcoHealth,2010,https://doi.org/10.1007/s10393-010-0332-z,Australia ; Papua New Guinea ; Indonesia ; Timor-Leste,Australasian,No,2003 ; 2006 ; 2007,Pteropus alecto,Pteropus,alecto,NA,Pteropodidae,Yes,566,450,650,VHF transmitter,VHF transmitter,Microwave Telemetry Inc Platform Transmitter Terminals,Yes,Yes,NA,12,18,No,<3,2,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_25,Bats Without Borders: Long-Distance Movements and Implications for Disease Risk Management,Research,EcoHealth,2010,https://doi.org/10.1007/s10393-010-0332-z,Australia ; Papua New Guinea ; Indonesia ; Timor-Leste,Australasian,No,2005,Pteropus vampyrus,Pteropus,vampyrus,NA,Pteropodidae,Yes,907,840,974,VHF transmitter,VHF transmitter,Microwave Telemetry Inc Platform Transmitter Terminals,Yes,Yes,20,20,20,No,<3,2,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_25,Bats Without Borders: Long-Distance Movements and Implications for Disease Risk Management,Research,EcoHealth,2010,https://doi.org/10.1007/s10393-010-0332-z,Australia ; Papua New Guinea ; Indonesia ; Timor-Leste,Australasian,No,2006,Pteropus neohibernicus,Pteropus,neohibernicus,NA,Pteropodidae,Yes,1107,1107,1107,VHF transmitter,VHF transmitter,Microwave Telemetry Inc Platform Transmitter Terminals,Yes,Yes,22,22,22,No,<3,2,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_25,Bats Without Borders: Long-Distance Movements and Implications for Disease Risk Management,Research,EcoHealth,2010,https://doi.org/10.1007/s10393-010-0332-z,Australia ; Papua New Guinea ; Indonesia ; Timor-Leste,Australasian,No,2006,Pteropus neohibernicus,Pteropus,neohibernicus,NA,Pteropodidae,Yes,1030,1030,1030,VHF transmitter,VHF transmitter,Microwave Telemetry Inc Platform Transmitter Terminals,Yes,Yes,22,22,22,No,<3,2,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_26,Flexibility in foraging and roosting behavior by the big brown bat (Eptesicus fuscus),Research,Canadian Journal of Zoology,1991,https://www.researchgate.net/profile/R-Brigham/publication/240673507_Flexibility_in_foragin_and_roosting_behaviour_by_the_big_brown_bat_Eptesicus_fuscus/links/564c9a1b08ae352ab55a062c/Flexibility-in-foragin-and-roosting-behaviour-by-the-big-brown-bat-Eptesicus-fuscus.pdf,"British Columbia, Canada",Nearctic,Yes,1985-1987,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,Yes,>15,>15,>15,VHF transmitter,VHF transmitter,Holohil BD-1,Yes,No,NA,NA,NA,Yes,<6,NA,NA,Yes,Yes,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_26,Flexibility in foraging and roosting behavior by the big brown bat (Eptesicus fuscus),Research,Canadian Journal of Zoology,1991,https://www.researchgate.net/profile/R-Brigham/publication/240673507_Flexibility_in_foragin_and_roosting_behaviour_by_the_big_brown_bat_Eptesicus_fuscus/links/564c9a1b08ae352ab55a062c/Flexibility-in-foragin-and-roosting-behaviour-by-the-big-brown-bat-Eptesicus-fuscus.pdf,"British Columbia, Canada",Nearctic,Yes,1985-1987,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,Yes,>15,>15,>15,VHF transmitter,VHF transmitter,Holohil BD-1,Yes,No,NA,NA,NA,Yes,<6,NA,NA,Yes,Yes,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_26,Flexibility in foraging and roosting behavior by the big brown bat (Eptesicus fuscus),Research,Canadian Journal of Zoology,1991,https://www.researchgate.net/profile/R-Brigham/publication/240673507_Flexibility_in_foragin_and_roosting_behaviour_by_the_big_brown_bat_Eptesicus_fuscus/links/564c9a1b08ae352ab55a062c/Flexibility-in-foragin-and-roosting-behaviour-by-the-big-brown-bat-Eptesicus-fuscus.pdf,"British Columbia, Canada",Nearctic,Yes,1985-1987,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,Yes,>15,>15,>15,VHF transmitter,VHF transmitter,Holohil BD-1,Yes,No,NA,NA,NA,Yes,<6,NA,NA,Yes,Yes,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_27,Roosting Behavior and Roost-Site Preferences of Forest-Dwelling California Bats (Myotis californicus),Research,Journal of Mammalogy,1997,https://doi.org/10.2307/1383066,"British Columbia, Canada",Nearctic,Yes,1995-1996,Myotis californicus,Myotis,californicus,NA,Vespertilionidae,Yes,5,5,6,VHF transmitter,VHF transmitter,Holohil LB-2,Yes,Yes,0.45,0.45,0.45,Yes,>5,8,9,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_28,Convergence in foraging strategies by 2 morphologically and phylogenetically distinct nocturnal aerial insectivores,Research,Journal of Zoology,1991,https://doi.org/10.1111/j.1469-7998.1991.tb04778.x,"British Columbia, Canada",Nearctic,Yes,1985-1987,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,Yes,18,>15,NA,VHF transmitter,VHF transmitter,NA,Yes,Yes,NA,0.8,1,Some,NA,<5,6.7,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_28,Convergence in foraging strategies by 2 morphologically and phylogenetically distinct nocturnal aerial insectivores,Research,Journal of Zoology,1991,https://doi.org/10.1111/j.1469-7998.1991.tb04778.x,"British Columbia, Canada",Nearctic,Yes,1985-1987,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,Yes,18,>15,NA,VHF transmitter,VHF transmitter,NA,Yes,Yes,NA,0.8,1,Some,NA,<5,6.7,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_28,Convergence in foraging strategies by 2 morphologically and phylogenetically distinct nocturnal aerial insectivores,Research,Journal of Zoology,1991,https://doi.org/10.1111/j.1469-7998.1991.tb04778.x,"British Columbia, Canada",Nearctic,Yes,1985-1987,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,Yes,18,>15,NA,VHF transmitter,VHF transmitter,NA,Yes,Yes,NA,0.8,1,Some,NA,<5,6.7,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_29,"Indiana bat, Myotis sodalis, maternity roosts in the southern united states",Research,Southeastern Naturalist,2003,https://www.jstor.org/stable/3878142,"North Carolina, USA ; Tennessee, USA",Nearctic,NA,1999-2001,Myotis sodalis,Myotis,sodalis,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.5,0.5,0.5,Unknown,NA,NA,NA,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_29,"Indiana bat, Myotis sodalis, maternity roosts in the southern united states",Research,Southeastern Naturalist,2003,https://www.jstor.org/stable/3878142,"North Carolina, USA ; Tennessee, USA",Nearctic,NA,1999-2001,Myotis sodalis,Myotis,sodalis,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.5,0.5,0.5,Unknown,NA,NA,NA,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_30,So long as it’s near water: variable roosting behaviour of the large-footed myotis (Myotis macropus),Research,Australian Journal of Zoology,2009,https://doi.org/10.1071/ZO09006,"Melbourne, Australia",Australasian,Yes,2002-2005,Myotis macropus,Myotis,macropus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2,Yes,Yes,0.7,0.7,0.7,Yes,6.2,6.1,6.3,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_30,So long as it’s near water: variable roosting behaviour of the large-footed myotis (Myotis macropus),Research,Australian Journal of Zoology,2009,https://doi.org/10.1071/ZO09006,"Melbourne, Australia",Australasian,Yes,2002-2005,Myotis macropus,Myotis,macropus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2,Yes,Yes,0.7,0.7,0.7,Yes,6.2,6.1,6.3,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_30,So long as it’s near water: variable roosting behaviour of the large-footed myotis (Myotis macropus),Research,Australian Journal of Zoology,2009,https://doi.org/10.1071/ZO09006,"Melbourne, Australia",Australasian,Yes,2002-2005,Myotis macropus,Myotis,macropus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2,Yes,Yes,0.7,0.7,0.7,Yes,6.2,6.1,6.3,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_30,So long as it’s near water: variable roosting behaviour of the large-footed myotis (Myotis macropus),Research,Australian Journal of Zoology,2009,https://doi.org/10.1071/ZO09006,"Melbourne, Australia",Australasian,Yes,2002-2005,Myotis macropus,Myotis,macropus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2,Yes,Yes,0.7,0.7,0.7,Yes,6.2,6.1,6.3,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_31,"Day roost selection by female little forest bats (vespadelus vulturnus) within remnant woodland on phillip island, victoria",Research,Wildlife Research,2005,https://doi.org/10.1071/WR04039,"Phillip Island, Australia",Australasian,Yes,1999-2000,Vespadelus vulturnus,Vespadelus,vulturus,NA,Vespertilionidae,Yes,5,4,5,VHF transmitter,VHF transmitter,Titley,Yes,Yes,0.4,0.4,0.4,Yes,8.5,8.5,8.5,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_32,Conservation of bats in managed forests: Use of roosts by lasionycteris noctivagans,Research,Journal of Mammalogy,1996,https://doi.org/10.2307/1382778,"Washington, USA",Nearctic,Yes,1992-1993,Lasionycteris noctivagans,Lasionycteris,noctivagans,NA,Vespertilionidae,Yes,>9,>9,>9,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.75,0.75,0.75,Some,<7.5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_32,Conservation of bats in managed forests: Use of roosts by lasionycteris noctivagans,Research,Journal of Mammalogy,1996,https://doi.org/10.2307/1382778,"Washington, USA",Nearctic,Yes,1992-1993,Lasionycteris noctivagans,Lasionycteris,noctivagans,NA,Vespertilionidae,Yes,>9,>9,>9,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.75,0.75,0.75,Some,<7.5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_32,Conservation of bats in managed forests: Use of roosts by lasionycteris noctivagans,Research,Journal of Mammalogy,1996,https://doi.org/10.2307/1382778,"Washington, USA",Nearctic,Yes,1992-1993,Lasionycteris noctivagans,Lasionycteris,noctivagans,NA,Vespertilionidae,Yes,>9,>9,>9,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.75,0.75,0.75,Some,<7.5,NA,NA,No,NA,Co-authors,Co-authors
Other,Other_other_001,Reinforcement Learning Enables Resource Partitioning in Foraging Bats,Research,Current Biology,2020,https://doi.org/10.1016/j.cub.2020.07.079,Mexico (Sonoran Desert),Neotropical ; Nearctic,Yes,2015-2017,Leptonycteris yerbabuenae,Leptonycteris,yerbabuenae,NA,Phyllostomidae,Yes,30,26,37,GPS ; Micro on board ; VHF transmitter,Microphone + GPS,Lucid ; Knowles FG-23329 ; Holohil LB-2X ; Biotrack Pico pip Ag379,No,Yes,4.11,4,4.24,Yes,NA,11.14,16.41,Yes,Yes,Co-authors,Co-authors
Other,Other_other_002,Resource Ephemerality Drives Social Foraging in Bats,Research,Current Biology,2018,https://doi.org/10.1016/j.cub.2018.09.064,Bulgaria,Palearctic,Yes,2013-2015,Myotis myotis,Myotis,myotis,NA,Vespertilionidae,No,NA,NA,NA,GPS ; Micro on board ; VHF transmitter,Microphone + GPS,Lucid ; Knowles FG-23329 ; Holohil LB-2X,No,Yes,4.3,NA,NA,Yes,NA,13.5,15,Yes,No,Co-authors,Co-authors
Other,Other_other_002,Resource Ephemerality Drives Social Foraging in Bats,Research,Current Biology,2018,https://doi.org/10.1016/j.cub.2018.09.064,Mexico (Partida Norte Island),Neotropical,Yes,2015-2016,Myotis vivesi,Myotis,vivesi,NA,Vespertilionidae,No,NA,NA,NA,GPS ; Micro on board ; VHF transmitter,Microphone + GPS,Lucid ; Knowles FG-23329 ; Holohil LB-2X,No,Yes,4.3,NA,NA,Yes,NA,13,15,Yes,No,Co-authors,Co-authors
Other,Other_other_002,Resource Ephemerality Drives Social Foraging in Bats,Research,Current Biology,2018,https://doi.org/10.1016/j.cub.2018.09.064,Mexico (Sonoran Desert),Neotropical ; Nearctic,Yes,2015-2017,Leptonycteris yerbabuenae,Leptonycteris,yerbabuenae,NA,Phyllostomidae,No,NA,NA,NA,GPS ; Micro on board ; VHF transmitter,Microphone + GPS,Lucid ; Knowles FG-23329 ; Holohil LB-2X,No,Yes,4.3,NA,NA,Unknown,NA,NA,NA,Yes,No,Co-authors,Co-authors
Other,Other_other_002,Resource Ephemerality Drives Social Foraging in Bats,Research,Current Biology,2018,https://doi.org/10.1016/j.cub.2018.09.064,Israel,Palearctic,Yes,2012-2015,Rousettus aegyptiacus,Rousettus,aegyptiacus,NA,Pteropodidae,No,NA,NA,NA,GPS ; Micro on board ; VHF transmitter,Microphone + GPS,Lucid ; Knowles FG-23329 ; Holohil LB-2X,No,Yes,4.3,NA,NA,Unknown,NA,NA,NA,Yes,No,Co-authors,Co-authors
Other,Other_other_002,Resource Ephemerality Drives Social Foraging in Bats,Research,Current Biology,2018,https://doi.org/10.1016/j.cub.2018.09.064,Israel,Palearctic,Yes,2012-2013,Rhinopoma microphyllum,Rhinopoma,microphyllum,NA,Rhinopomatidae,No,NA,NA,NA,GPS ; Micro on board ; VHF transmitter,Microphone + GPS,Lucid ; Knowles FG-23329 ; Holohil LB-2X,No,Yes,4.3,NA,NA,Unknown,NA,NA,NA,Yes,No,Co-authors,Co-authors
