Article Title,Abstract,Author1,Author2
Vampyrum spectrum (Phyllostomidae) movement and prey revealed by radio-telemetry and DNA metabarcoding,"The spectral bat (Vampyrum spectrum), the largest bat species in the Americas, is considered Near Threatened by the International Union for Conservation of Nature and is listed as a species of special concern or endangered in several countries throughout its range. Although the species is known as carnivorous, data on basic ecology, including habitat selection and primary diet items, are limited owing to its relative rarity and difficulty in capturing the species. Leveraging advances in DNA metabarcoding and using radio-telemetry, we present novel information on the diet and movement of V. spectrum based on locations of a radio-collared individual and fecal samples collected from its communal roost (three individuals) in the Lowland Dry Forest of southern Nicaragua. Using a non-invasive approach, we explored the diet of the species with genetic markers designed to capture a range of arthropods and vertebrate targets from fecal samples. We identified 27 species of vertebrate prey which included birds, rodents, and other bat species. Our evidence suggested that V. spectrum can forage on a variety of species, from those associated with mature forests to forest edge-dwellers. Characteristics of the roost and our telemetry data underscore the importance of large trees for roosting in mature forest patches for the species. These data can inform conservation efforts for preserving both the habitat and the prey items in remnants of mature forest required by Vampyrum spectrum to survive in landscape mosaics.",1,1
Habituation of common vampire bats to biologgers,"Rapid advancements in biologging technology have led to unprecedented insights into animal behaviour, but testing the effects of biologgers on tagged animals is necessary for both scientific and ethical reasons. Here, we measured how quickly 13 wild-caught and captively isolated common vampire bats (Desmodus rotundus) habituated to mock proximity sensors glued to their dorsal fur. To assess habituation, we scored video-recorded behaviours every minute from 18.00 to 06.00 for 3 days, then compared the rates of grooming directed to the sensor tag versus to their own body. During the first hour, the mean tag-grooming rate declined dramatically from 53% of sampled time (95% CI = 36-65%, n = 6) to 16% (8-24%, n = 9), and down to 4% by hour 5 (1-6%, n = 13), while grooming of the bat's own body did not decline. When tags are firmly attached, isolated individual vampire bats mostly habituate within an hour of tag attachment. In two cases, however, tags became loose before falling off causing the bats to dishabituate. For tags glued to fur, behavioural data are likely to be impacted immediately after the tag is attached and when it is loose before it falls off.",1,1
"Foraging habitat, home-range size and diet of a Mediterranean bat species, Savi's pipistrelle","The Mediterranean is considered one of the richest biodiversity regions in Europe, and bats contribute to this species richness. Within the last two decades, certain bat species traditionally considered as representatives of the Mediterranean have spread northwards and colonized areas outside this region. In our study, we focused on ecological requirements of one of these bat species, the Savi's pipistrelle (Hypsugo savii). We used radio-telemetry and diet analysis to describe habitat use, home-range size and diet composition of reproductive females of Savi's pipistrelle in the traditional core of its distribution range in the Mediterranean region. Our results indicate that Savi's pipistrelle is able to fly long distances and utilize a wide range of habitats within its home-range, with affinities for particular habitats depending on its reproductive status. In particular, pregnant females favoured rocky pastures and forest areas, followed by meadows and riparian habitat, whereas the affinity for riparian habitat increased in lactating females, followed closely by meadows, forest and rocky pastures. The larger affinity for riparian habitats during lactation might indicate its importance for successful rearing of young, which could be influenced in the future by increasing droughts and water shortage in the Mediterranean region. Nevertheless, based on our radio-telemetry and diet analysis the species shows a high degree of flexibility, as an opportunistic forager that flies across large areas on a nightly basis, which may be a good predisposition for colonizing new areas.",1,1
Wireless Sensor Platform for Detection of Vital Parameters of Bats,"In this paper an advanced sensor node for animal tracking is proposed, which includes an accelerometer, an air pressure sensor as well as an electrocardiography sensor. The system is designed for studying the physiology and behavior of bats by inferring activity, wing beat frequency as well as heart rate. This system offers outstanding functionality compared to other tracking nodes and is easily applicable thanks to its non-invasive design. Gluing the sensor to the bat's back keeps the impact on the animal at a minimum and retrieval of the animal to remove the tag is not required since the tag falls off after a few days.",1,1
On-board telemetry of emitted sounds from free-flying bats: compensation for velocity and distance stabilizes echo frequency and amplitude,"To understand complex sensory-motor behavior related to object perception by echolocating bats, precise measurements are needed for echoes that bats actually listen to during flight. Recordings of echolocation broadcasts were made from flying bats with a miniature light-weight microphone and radio transmitter (Telemike) set at the position of the bat's ears and carried during flights to a landing point on a wall. Telemike recordings confirm that flying horseshoe bats (Rhinolophus ferrumequinum nippon) adjust the frequency of their sonar broadcasts to compensate for echo Doppler shifts. Returning constant frequency echoes were maintained at the bat's reference frequency +/- 83 Hz during flight, indicating that the bats compensated for frequency changes with an accuracy equivalent to that at rest. The flying bats simultaneously compensate for increases in echo amplitude as target range becomes shorter. Flying bats thus receive echoes with both stabilized frequencies and stabilized amplitudes. Although it is widely understood that Doppler-shift frequency compensation facilitates detection of fluttering insects, approaches to a landing do not involve fluttering objects. Combined frequency and amplitude compensation may instead be for optimization of successive frequency modulated echoes for target range estimation to control approach and landing.",1,1
Going bald - the hairy affair of timing in telemetry studies: moulting activity in European bat species,"Telemetry is a widely used method for radio-tracking bats. To minimize negative effects of attaching a tag, like bald spots during hibernation and nursery period, narrowing down the timing of the moult of bats is important. In this study, we investigated the moulting of 11 European bat species with a focus on Myotis daubentonii, Myotis myotis and Pipistrellus pipistrellus. Telemetry data were taken from a 20 years data base. For moulting activity bats were caught with mist nests during their activity period in 2019 and 2020. During data acquisition the condition of the hair was categorized using two different methods: visual hair growth and shed hair pulled off the bats' pelage. Both methods revealed the same results. In general, bats moulted once a year in mid-June (first moult: 17.06) until mid-August (last moult: 13.08), with a significant difference between adult males, reproductive females and nonreproductive females. Adult males (n = 197) and non-reproductive females (n = 60) moulted from mid-June (first moult: 17.06) to end of July (last moult: 27.07), while reproductive females (n = 216) moulted from beginning of July (first moult: 02.07) to mid-August (last moult: 17.08). This variance is probably caused by sex-specific energetic processes like pregnancy, lactation and spermatogenesis. When tagged before moulting season bats could regrow fur in the same year. As seen in recaptured bats (n = 31), tagged in or after this period bats stayed bald during hibernation and reproduction period until the following moulting season. Further studies are needed to specifically assess the impact of bald spots on hibernation and reproductive success. A preceding cost-benefit analysis of the expected knowledge gain versus the potential negative impact on individual and colony scale is recommended.",1,1
A 2.6-g sound and movement tag for studying the acoustic scene and kinematics of echolocating bats,"To study sensorimotor behaviour in wild animals, it is necessary to synchronously record the sensory inputs available to the animal, and its movements. To do this, we have developed a biologging device that can record the primary sensory information and the associated movements during foraging and navigating in echolocating bats. This 2.6-g tag records the sonar calls and echoes from an ultrasonic microphone, while simultaneously sampling fine-scale movement in three dimensions from wideband accelerometers and magnetometers. In this study, we tested the tag on an European noctula Nyctalus noctula during target approaches and on four big brown bats Eptesicus fuscus during prey interception in a flight room. We show that the tag records both the outgoing calls and echoes returning from objects at biologically relevant distances. Inertial sensor data enables the detection of behavioural events such as flying, turning, and resting. In addition, individual wing-beats can be tracked and synchronized to the bat's sound emissions to study the coordination of different motor events. By recording the primary acoustic flow of bats concomitant with associated behaviours on a very fine time-scale, this type of biologging method will foster a deeper understanding of how sensory inputs guide feeding behaviours in the wild.",1,1
BatRack: An open-source multi-sensor device for wildlife research,"Bats represent a highly diverse group of mammals and are essential for ecosystem functioning. However, knowledge about their behaviour, ecology and conservation status is limited. Direct observation of marked individuals (commonly applied to birds) is not possible for bats due to their small size, rapid movement and nocturnal lifestyle, while neither popular observation methods such as camera traps nor conventional tracking technologies sufficiently capture the behaviour of individuals. The combination and networking of different sensors in a single system can overcome these limitations, but this potential has been explored only to a limited extent. We present BatRack, a multi-sensor device that combines ultrasonic audio recordings, automatic radio telemetry and video camera recordings in a single modular unit. BatRack facilitates the individual or combined scheduling of sensors and includes a mutual triggering mode. It consists of off-the-shelf hardware and both its hardware blueprints and the required software have been published under an open license to allow scientists and practitioners to replicate the system. We tested the suitability of radio telemetry and audio sensors as camera triggers and evaluated the detection of individuals in video recordings compared to radio telemetry signals. Specifically, BatRack was used to monitor the individual swarming behaviour of six members of a maternity colony of Bechstein's bat. Preliminary anecdotal results indicate that swarming intensity is related to reproductive state and roost switching. BatRack allows researchers to recognize individual bats and monitor their behavioural patterns using an easily deployed and scalable system. BatRack is thus a promising approach to obtaining detailed insights into the behavioural ecology of bats.",1,1
Barbastelle bats in a wind farm: are they at risk?,"We need to know if and how western barbastelles Barbastella barbastellus are affected by wind farming in Sweden. This is because wind turbines are frequently constructed in barbastelle habitats and yet there is no national guideline on how the arising conflict should be handled. We studied the movement, behavior and mortality of a barbastelle population at a wind farm in southern Sweden, using radio-telemetry, automatic bat detectors and carcass searches. The tagged bats (6 males and 8 females) roosted mainly under loose bark of dead oak trees and foraged in patches of mature deciduous woodlands or pockets of mature spruce trees within 15 km of the roosts. Extensive areas of young spruce plantation, open farmland and lakes were not used for roosting or foraging but were crossed by commuting bats. Continuous recordings with bat detectors frequently picked up barbastelles at forest edges 30 m from the turbines, but rarely over the turbine pads within 10 m from the turbines and never at heights of 30 and 100 m at the turbine towers. Barbastelles were apparently not attracted to the wind turbines and did not seem to interact with them in any way. Carcass searches under 10 wind turbines at 1-week intervals over three summers did not reveal any dead barbastelles, although three other species were recovered. We conclude that wind farming is not nessarily incompatible with effective conservation of barbastelles in Sweden, but instead of focusing on wind turbines, effors should concentrate on (a) preservation and restoration of mature, age-structured deciduous woodlands and spruce forests, including very small and isolated patches, which provide food and roosts, and probably also (b) avoidance of outdoor lighting in areas used by barbastelles. Designating large circular buffer zones around each known or suspected colony according to current practice would be inefficient or meaningless in our case, because barbastelles use extensive home ranges and switch roost frequently. We argue that barbastelle management must be applied on a landscape scale.",1,1
Determination of Spatiotemporal Parameters in Straight Drive Cricket Bat Swing using Accelerometer Sensors,"The position, velocity and timing of a cricket bat swing measured in practice and during a match can provide a coach with details of batting skill. A straight drive was analyzed using data from two triaxial accelerometers mounted on the rear face of a bat and a video. The spatiotemporal details from the video were used to match the accelerometer data using rigid body dynamics in the plane of the swing. Discriminating the drive from the backlift and the return, the key issues of the swing motion and bat posture was investigated. The start and the end of the drive can be readily determined from the accelerometer data, and from this, the maximum bat swing velocity was determined. The accelerometer technology can be deployed during practice and match batting for skill assessment. (C) 2015 The Authors. Published by Elsevier Ltd.",0,0
An improved chemiluminescent tag for bats,"Chemical lights and gelatin capsules prepared using Cyalume(R) fluid are widely used by researchers and public educators to mark bats, but may be associated with risks to bats from Cyalume leakage. Newly available 2.9-mm x 24-mm lightsticks weigh significantly less than gelatin-capsule light tags and are protected by a durable plastic shell that reduces risks to bats. We tested Cyalume as a wetting agent on bat fur and compared effects of biting and chewing, duration of visibility, and maximum distance of visibility for miniature lightsticks and gelatin-capsule light tags. We found that Cyalume leaked from gelatin capsules, which softened and ruptured after explosure to chewing and saliva, precipitation, and high humidity. Bats did not puncture or damage the miniature lightsticks. There was no significant difference in duration of luminescence or maximum distance of visibility between miniature lightsticks and gelatin-capsule light tags. Miniature lightsticks provided equal or superior results to gelatin-capsule light tags as a light-tagging technique under field conditions.",0,0
Returning bats to the wild... An experiment in release,"This case study details the successful release of different aged Pallid Bats-Antrozous pallidus pacificus. Two were raised from the age of three days and one of the bats had been captive for over four years. Many in the rehabilitation community have long thought that hand-raised bat pups could not survive in the wild after being raised by humans. This study demonstrates that, with some planning, Pallid Bats can successfully be released into the wild.",0,0
Using sutures to attach miniature tracking tags to small bats for multimonth movement and behavioral studies,"Determining the detailed movements of individual animals often requires them to carry tracking devices, but tracking broad-scale movement of small bats (<30g) has been limited by transmitter technology and long-term attachment methods. This limitation inhibits our understanding of bat dispersal and migration, particularly in the context of emerging conservation issues such as fatalities at wind turbines and diseases. We tested a novel method of attaching lightweight global positioning system (GPS) tags and geolocating data loggers to small bats. We used monofilament, synthetic, absorbable sutures to secure GPS tags and data loggers to the skin of anesthetized big brown bats (Eptesicus fuscus) in Colorado and hoary bats (Lasiurus cinereus) in California. GPS tags and data loggers were sutured to 17 bats in this study. Three tagged bats were recaptured 7months after initial deployment, with tags still attached; none of these bats showed ill effects from the tag. No severe injuries were apparent upon recapture of 6 additional bats that carried tags up to 26days after attachment; however, one of the bats exhibited skin chafing. Use of absorbable sutures to affix small tracking devices seems to be a safe, effective method for studying movements of bats over multiple months, although additional testing is warranted. This new attachment method has the potential to quickly advance our understanding of small bats, particularly as more sophisticated miniature tracking devices (e.g., satellite tags) become available.",1,1
Roosting behaviour and the tree-hollow requirements of bats: insights from the lesser long-eared bat (Nyctophilus geoffroyi) and Gould's wattled bat (Chalinolobus gouldii) in south-eastern Australia,"Access to suitable roosts is critical for the conservation of tree-hollow roosting bats worldwide. Availability of roost sites is influenced by human land-use, but also by the roosting requirements and behaviour of species. Weinvestigated roosting behaviour of the lesser long-eared bat (Nyctophilus geoffroyi) and Gould's wattled bat (Chalinolobus gouldii) in a rural landscape in south-eastern Australia. Forty-five N. geoffroyi and 27 C. gouldii were fitted with radio-transmitters, resulting in the location of 139 and 89 roosts, respectively. Most (88%) roosts occupied by male N. geoffroyi contained only a single individual. During the breeding season female colonies were larger, with maternity roosts containing 18.3 +/- 5.7 (s.e.) individuals. Mean colony sizes for C. gouldii were 8.7 +/- 1.4 individuals. Both species shifted roosts frequently: on average, individual N. geoffroyi moved every 2.2 +/- 0.23 days and C. gouldii every 2.2 +/- 0.14 days. Notably, lactating female N. geoffroyi shifted roosts more frequently than non-breeding females. Individuals of both species roosted within a discrete area, with roosts typically <300 m apart; and consistently returned there from foraging up to 12 km distant. This roosting behaviour highlights three important requirements: (1) a relatively large overall number of hollows to support a population; (2) discrete roost areas with a high density of suitable hollows in close proximity; and (3) a range of hollow types to provide the specialised roosts required, particularly for breeding.",1,1
Endangered Myotis bats forage in regeneration openings in a managed forest,"Bat populations face numerous threats, including the loss of forests in which they roost and forage. Present-day forests are commonly managed for timber harvesting, recreation, and wildlife. Understanding bat responses to forest management is crucial for balancing the conservation of endangered bats and forest restoration. We used radio telemetry to study nocturnal movements and habitat selection patterns of female and juvenile bats of two forest-dependent, federally listed bat species in an oak-dominated managed forest. We estimated foraging space use and assessed habitat selection for 33 northern long-eared bats (Myotis septentrionalis) and 25 Indiana bats (Myotis sodalis) from May to August 2014-2017 in south-central Indiana, USA. Myotis septentrionalis space use averaged 176 ha and bats selected water, historic thinning, and patch cuts (<= 4 ha) over other habitats, with all but one bat avoiding larger openings (>= 4-ha clearcuts). Myotis sodalis space use averaged 343 ha and bats selected 4-ha patch cuts, historic openings, and historic thinning over other habitats. In contrast to M. septentrionalis, one-third of the M. sodalis foraged over larger clearcuts, while two-thirds foraged over smaller openings and thinnings. We showed that bats were attracted to small regeneration harvests of varying structural ages. Forests maintained for a mix of mature stands, thinned stands, shelterwoods, small regenerative cuts (<7 ha), and small water sources should provide suitable foraging habitat for these endangered Myotis species, while also promoting forest regeneration.",1,1
What is driving range expansion in a common bat? Hints from thermoregulation and habitat selection,"Human-induced alterations of ecosystems and environmental conditions often lead to changes in the geographical range of plants and animals. While modelling exercises may contribute to understanding such dynamics at large spatial scales, they rarely offer insights into the mechanisms that prompt the process at a local scale. Savi's pipistrelle (Hypsugo savii) is a vespertilionid bat widespread throughout the Mediterranean region. The species' recent range expansion towards northeastern Europe is thought to be induced by urbanization, yet no study actually tested this hypothesis, and climate change is a potential alternative driver. In this radio telemetry study, set in the Vesuvius National Park (Campania region, Southern Italy) we provide insights into the species' thermal physiology and foraging ecology and investigate their relationships with potential large-scale responses to climate, and land use changes. Specifically, we test whether H. savii i) exploits urbanisation by selecting urban areas for roosting and foraging, and ii) tolerates heatwaves (a proxy for thermophily) through a plastic use of thermoregulation. Tolerance to heatwaves would be consistent with the observation that the species' geographic range is not shifting but expanding northwards. Tracked bats roosted mainly in buildings but avoided urban habitats while foraging, actively selecting non-intensive farmland and natural wooded areas. Hypsugo H. savii showed tolerance to heat, reaching the highest body temperature ever recorded for a free ranging bat (46.5 degrees C), and performing long periods of overheating. We conclude that H. savii is not a strictly synurbic species because it exploits urban areas mainly for roosting, and avoids them for foraging: this questions the role of synurbization as a range expansion driver. On the other hand, the species' extreme heat tolerance and plastic thermoregulatory behaviour represent winning traits to cope with heatwaves typical of climate change related weather fluctuations.",1,1
Winter Roosting by Eastern Red Bats in Ozark Mountain Forests of Missouri,"The eastern red bat (Lasiurus borealis Muller, 1776) is a widespread species that roosts in evergreen or dead foliage suspended in trees during winter but retreats to leaf litter during colder periods. Roosting in leaf litter by eastern red bats makes them vulnerable to prescribed fires in winter. Using radio telemetry, we tracked 33 male eastern red bats to 101 winter (November-February) roosts and quantified roost locations, habitat surrounding roosts, and landscape attributes of roost locations. When roosting in trees, bats preferred oaks but generally avoided other tree species; they used pines in proportion to their availability. During colder periods, bats retreated to roosts in leaf litter where 21% suffered mortality either from predation/scavenging or unknown causes while roosting on the ground. Models of roost selection indicated that southerly aspect was the most important factor determining roost selection, and both tree- and leaf-litter roosts were predominately (>= 94%) on upper south-facing slopes. Prescribed burning in late morning/early afternoon on clear days when temperatures under leaf litter are warmest in winter could reduce potential mortality by allowing faster arousal time for hibernating bats.",1,1
Use of space by frugivorous bats (Chiroptera: Phyllostomidae) in a restored Atlantic forest fragment in Brazil,"We studied patterns in the use of space for foraging and roosting by two frugivorous bat species in a five-year-old restored Atlantic forest located in a fragmented landscape in southeastern Brazil. Ten individuals of Carollia perspicillata and eleven individuals of Artibeus lituratus were monitored through radio-telemetry in five sampling sessions. Each session lasted 3-8 days for each individual, with an average of 25.4 +/- 10 locations for each C. perspicillata individual and 19 +/- 4.4 for each A. lituratus individual. We described an average range of 124.4 ha and an average commuting distance of 1158.8 m for A. lituratus and an average range and commuting distance of 32 ha and 489 m, respectively, for C. perspicillata. We demonstrated a consistent pattern in habitat use and movements for both studied species, where they strictly used forests (restored or not) for day roosting, roosting in the foliage of trees located only in secondary forest remnants and restored areas, while restored areas were their main feeding habitat. We demonstrate that newly restored forests can be readily incorporated as foraging and roosting habitats by these species, and that C. perspicillata alters its roosting behavior in relation to preferred food availability. These results, when combined with data on the diet of the studied species, show consistent evidence of the potential that bats have to improve species diversity of anthropogenic plantings with their own natural seed dispersal. (C) 2012 Elsevier B.V. All rights reserved.",1,1
